ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000361899.2:protein_coding:MT-ATP6-201	2	2	2.0	0.0
ENST00000567616.1:lincRNA:RP11-300A12.2-001	1	1	1.0	0.0
ENST00000495792.1:processed_transcript:HIBCH-004	1	1	1.0	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	1	1	1.0	0.0
ENST00000526892.1:processed_pseudogene:CTD-2521M24.4-001	1	1	1.0	0.0
ENST00000575511.1:retained_intron:MINK1-013	1	1	0.5	0.0
ENST00000380738.8:protein_coding:PSIP1-004	1	1	0.5	0.0
ENST00000338099.9:protein_coding:CMTR2-001	1	1	0.5	0.0
ENST00000434935.6:protein_coding:CMTR2-002	1	1	0.5	0.0
ENST00000380733.8:protein_coding:PSIP1-003	1	1	0.5	0.0
ENST00000574871.1:retained_intron:MINK1-008	1	1	0.5	0.0
ENST00000557061.5:nonsense_mediated_decay:PAPLN-009	1	1	0.25	0.0
ENST00000340738.9:protein_coding:PAPLN-001	1	1	0.25	0.0
ENST00000555700.1:retained_intron:PAPLN-008	1	1	0.25	0.0
ENST00000559759.1:protein_coding:PAPLN-014	1	1	0.25	0.0
ENST00000346348.7:protein_coding:SNX14-001	1	1	0.16666666666666666	0.0
ENST00000513865.5:protein_coding:SNX14-007	1	1	0.16666666666666666	0.0
ENST00000314673.7:protein_coding:SNX14-002	1	1	0.16666666666666666	0.0
ENST00000514419.5:protein_coding:SNX14-015	1	1	0.16666666666666666	0.0
ENST00000369627.6:protein_coding:SNX14-008	1	1	0.16666666666666666	0.0
ENST00000369635.6:nonsense_mediated_decay:SNX14-005	1	1	0.16666666666666666	0.0
