GeneSymbol	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
MT-TL1	8	19	19.0	0.0
HNRNPC	1	2	2.0	0.0
RNY1	3	3	1.5	0.0
Y_RNA.350	3	3	1.5	0.0
MT-RNR2	2	2	1.5	0.0
RASL11B	1	1	1.0	0.0
TMEM44-AS1	1	1	1.0	0.0
LECT2	1	2	1.0	0.0
AMPH	1	1	1.0	0.0
SNORD89	1	1	1.0	0.0
MATR3	1	1	1.0	0.0
XPR1	1	1	1.0	0.0
INO80D	1	1	1.0	0.0
ST6GALNAC6	1	1	1.0	0.0
L1TD1	1	1	1.0	0.0
SNORD28	1	2	1.0	0.0
NAP1L5	1	1	1.0	0.0
GAS5	1	1	1.0	0.0
ALMS1	1	1	1.0	0.0
MT-TF	1	1	1.0	0.0
ENTPD4	1	1	1.0	0.0
HTATSF1	1	1	1.0	0.0
CCNG2	1	1	1.0	0.0
ANGEL2	1	2	1.0	0.0
PRRC2A	1	1	1.0	0.0
ONECUT2	1	1	1.0	0.0
DST	1	1	1.0	0.0
ZNF786	1	1	1.0	0.0
TMEM25	1	1	1.0	0.0
SNORD116-29	1	1	1.0	0.0
SNHG3	1	1	1.0	0.0
SNHG1	1	2	1.0	0.0
SMIM12	1	1	1.0	0.0
RPL17	1	1	1.0	0.0
PHB2	1	1	0.9999999999999999	0.0
CCDC53	1	1	0.9999999999999999	0.0
TDRKH	1	1	0.9999999999999998	0.0
MMS19	1	1	0.9999999999999998	0.0
SNORD3C	4	4	0.7642857142857142	0.0
SNORD3A	4	4	0.7642857142857142	0.0
SNORD3B-2	4	4	0.7642857142857142	0.0
SNORD3B-1	4	4	0.7642857142857142	0.0
MT-ND5	2	2	0.75	0.0
MTND5P11	2	2	0.75	0.0
NTM	1	1	0.625	0.0
EIF4G2	1	1	0.5	0.0
GRHPR	1	1	0.5	0.0
SNORD97	1	1	0.5	0.0
MTRNR2L6	1	1	0.5	0.0
SNORD116-12	1	1	0.5	0.0
SNORD116-11	1	1	0.5	0.0
RPS8	1	1	0.5	0.0
SNORD55	1	1	0.5	0.0
RP11-655M14.13	1	1	0.5	0.0
RPS2	1	1	0.42857142857142844	0.0
SNORD3D	3	3	0.3666666666666667	0.0
SCARNA15	1	1	0.3333333333333333	0.0
SCARNA15.3	1	1	0.3333333333333333	0.0
AC105339.3	1	1	0.3333333333333333	0.0
TMC5	1	1	0.2857142857142857	0.0
RNY4	2	2	0.25396825396825395	0.0
RNY4P10	2	2	0.25396825396825395	0.0
Y_RNA.251	2	2	0.25396825396825395	0.0
RNY4P20	2	2	0.25396825396825395	0.0
RNY4P7	2	2	0.25396825396825395	0.0
Y_RNA.295	2	2	0.25396825396825395	0.0
ZNF436-AS1	2	2	0.25396825396825395	0.0
snoU13.13	1	1	0.25	0.0
SNORD13	1	1	0.25	0.0
BACH2	1	1	0.25	0.0
MTND5P12	1	1	0.25	0.0
MTND5P10	1	1	0.25	0.0
EOMES	1	1	0.25	0.0
SNORD13P1	1	1	0.25	0.0
snoU13.1	1	1	0.25	0.0
RP11-160E2.6	3	3	0.18333333333333335	0.0
RNY3	1	1	0.125	0.0
CTC-340A15.2	1	1	0.125	0.0
Y_RNA.845	1	1	0.125	0.0
Y_RNA.110	1	1	0.125	0.0
Y_RNA.27	1	1	0.125	0.0
Y_RNA.48	1	1	0.125	0.0
Y_RNA.132	1	1	0.125	0.0
RP11-597D13.7	1	1	0.125	0.0
MORC2-AS1	1	1	0.125	0.0
ITGA11	1	1	0.125	0.0
TSHZ2	1	1	0.125	0.0
NNT	1	1	0.125	0.0
XRRA1	1	1	0.125	0.0
Y_RNA.271	1	1	0.125	0.0
Y_RNA.335	1	1	0.125	0.0
Y_RNA.826	1	1	0.1111111111111111	0.0
Y_RNA.40	1	1	0.1111111111111111	0.0
RNU4-2	1	1	0.07142857142857142	0.0
RNU4-1	1	1	0.07142857142857142	0.0
RNU4-46P	1	1	0.07142857142857142	0.0
RNU4-70P	1	1	0.07142857142857142	0.0
RNU4-79P	1	1	0.07142857142857142	0.0
RNU4-49P	1	1	0.07142857142857142	0.0
RNU4-68P	1	1	0.07142857142857142	0.0
RNU4-7P	1	1	0.07142857142857142	0.0
U3.21	1	1	0.07142857142857142	0.0
RNU4-17P	1	1	0.07142857142857142	0.0
RNU4-10P	1	1	0.07142857142857142	0.0
U3.42	1	1	0.07142857142857142	0.0
ACEA_U3.2	1	1	0.05	0.0
U3.2	1	1	0.05	0.0
U3.16	1	1	0.05	0.0
U3.19	1	1	0.05	0.0
U3.57	1	1	0.05	0.0
RNU2-33P	1	1	0.045454545454545456	0.0
U2.3	1	1	0.045454545454545456	0.0
U2.2	1	1	0.045454545454545456	0.0
U2.20	1	1	0.045454545454545456	0.0
U2.5	1	1	0.045454545454545456	0.0
U2.6	1	1	0.045454545454545456	0.0
U2.9	1	1	0.045454545454545456	0.0
RNU2-29P	1	1	0.045454545454545456	0.0
RNU2-1	1	1	0.045454545454545456	0.0
U2.19	1	1	0.045454545454545456	0.0
U2.15	1	1	0.045454545454545456	0.0
U2.16	1	1	0.045454545454545456	0.0
U2.10	1	1	0.045454545454545456	0.0
U2.11	1	1	0.045454545454545456	0.0
U2.12	1	1	0.045454545454545456	0.0
RNU2-48P	1	1	0.045454545454545456	0.0
RNU2-68P	1	1	0.045454545454545456	0.0
RNU2-26P	1	1	0.045454545454545456	0.0
RNU2-57P	1	1	0.045454545454545456	0.0
RNU2-61P	1	1	0.045454545454545456	0.0
RNU2-7P	1	1	0.045454545454545456	0.0
RNU2-37P	1	1	0.045454545454545456	0.0
RP11-364L4.1	1	1	0.03571428571428571	0.0
RP11-306I1.1	1	1	0.03571428571428571	0.0
AC022210.2	1	1	0.03571428571428571	0.0
RP11-452G18.2	1	1	0.03571428571428571	0.0
RP3-337H4.6	1	1	0.03571428571428571	0.0
RPS2P55	1	1	0.03571428571428571	0.0
RP11-122G18.7	1	1	0.03571428571428571	0.0
RP5-1106E3.1	1	1	0.03571428571428571	0.0
RPS2P4	1	1	0.03571428571428571	0.0
RPS2P5	1	1	0.03571428571428571	0.0
CTD-2375G15.1	1	1	0.03571428571428571	0.0
RPS2P7	1	1	0.03571428571428571	0.0
RPS2P46	1	1	0.03571428571428571	0.0
RP3-342P20.2	1	1	0.03571428571428571	0.0
RP11-183G22.1	1	1	0.03571428571428571	0.0
RPS2P35	1	1	0.03571428571428571	0.0
