ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000386347.1:Mt_tRNA:MT-TL1-201	8	19	19.0	0.0
ENST00000365403.1:misc_RNA:Y_RNA.350-201	3	3	1.5	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	2	2	1.5	0.0
ENST00000364228.1:misc_RNA:RNY1-201	3	3	1.5	0.0
ENST00000430246.6:protein_coding:HNRNPC-015	1	2	1.0	0.0
ENST00000384516.1:snoRNA:SNORD116-29-201	1	1	1.0	0.0
ENST00000545308.5:retained_intron:SNHG1-012	1	2	1.0	0.0
ENST00000387314.1:Mt_tRNA:MT-TF-201	1	1	1.0	0.0
ENST00000384706.1:snoRNA:SNORD28-201	1	2	1.0	0.0
ENST00000491143.2:protein_coding:ONECUT2-001	1	1	1.0	0.0
ENST00000555127.1:retained_intron:HNRNPC-026	1	2	1.0	0.0
ENST00000316355.9:protein_coding:CCNG2-001	1	1	1.0	0.0
ENST00000473303.1:processed_transcript:ANGEL2-006	1	2	1.0	0.0
ENST00000413987.1:retained_intron:SNHG3-004	1	1	1.0	0.0
ENST00000453671.5:antisense:TMEM44-AS1-001	1	1	1.0	0.0
ENST00000522943.5:protein_coding:LECT2-005	1	2	1.0	0.0
ENST00000454068.5:lincRNA:GAS5-014	1	1	1.0	0.0
ENST00000323061.5:protein_coding:NAP1L5-001	1	1	1.0	0.0
ENST00000358689.8:protein_coding:ENTPD4-001	1	1	1.0	0.0
ENST00000521580.2:protein_coding:SMIM12-002	1	1	1.0	0.0
ENST00000414320.1:protein_coding:INO80D-003	1	1	1.0	0.0
ENST00000498273.1:protein_coding:L1TD1-001	1	1	1.0	0.0
ENST00000390981.1:snoRNA:SNORD89-201	1	1	1.0	0.0
ENST00000511037.1:processed_pseudogene:MTND5P11-001	2	2	0.75	0.0
ENST00000361567.2:protein_coding:MT-ND5-201	2	2	0.75	0.0
ENST00000367590.8:protein_coding:XPR1-001	1	1	0.5	0.0
ENST00000367589.3:protein_coding:XPR1-002	1	1	0.5	0.0
ENST00000356264.6:protein_coding:AMPH-001	1	1	0.5	0.0
ENST00000325590.9:protein_coding:AMPH-002	1	1	0.5	0.0
ENST00000248706.4:protein_coding:RASL11B-001	1	1	0.5	0.0
ENST00000376033.2:protein_coding:PRRC2A-002	1	1	0.5	0.0
ENST00000218364.4:protein_coding:HTATSF1-001	1	1	0.5	0.0
ENST00000485390.5:processed_transcript:RPS8-004	1	1	0.5	0.0
ENST00000384468.1:snoRNA:SNORD116-12-201	1	1	0.5	0.0
ENST00000581525.1:snoRNA:SNORD55-201	1	1	0.5	0.0
ENST00000515677.1:retained_intron:RASL11B-003	1	1	0.5	0.0
ENST00000376007.8:protein_coding:PRRC2A-001	1	1	0.5	0.0
ENST00000535601.5:protein_coding:HTATSF1-201	1	1	0.5	0.0
ENST00000361203.7:protein_coding:DST-004	1	1	0.5	0.0
ENST00000459187.1:snoRNA:SNORD97-201	1	1	0.5	0.0
ENST00000533311.1:lincRNA:RP11-655M14.13-001	1	1	0.5	0.0
ENST00000604952.1:protein_coding:MTRNR2L6-001	1	1	0.5	0.0
ENST00000497693.1:retained_intron:GRHPR-007	1	1	0.5	0.0
ENST00000439203.5:protein_coding:DST-011	1	1	0.5	0.0
ENST00000530564.1:retained_intron:EIF4G2-027	1	1	0.5	0.0
ENST00000383882.1:snoRNA:SNORD116-11-201	1	1	0.5	0.0
ENST00000630110.1:miRNA:AC105339.3-201	1	1	0.3333333333333333	0.0
ENST00000581305.1:retained_intron:RPL17-021	1	1	0.3333333333333333	0.0
ENST00000607520.1:retained_intron:SCARNA15-001	1	1	0.3333333333333333	0.0
ENST00000316286.13:protein_coding:ZNF786-002	1	1	0.3333333333333333	0.0
ENST00000578966.1:retained_intron:RPL17-011	1	1	0.3333333333333333	0.0
ENST00000579495.1:retained_intron:RPL17-004	1	1	0.3333333333333333	0.0
ENST00000491431.1:protein_coding:ZNF786-001	1	1	0.3333333333333333	0.0
ENST00000516881.1:scaRNA:SCARNA15.3-201	1	1	0.3333333333333333	0.0
ENST00000451334.4:protein_coding:ZNF786-201	1	1	0.3333333333333333	0.0
ENST00000580533.1:snoRNA:SNORD3C-001	4	4	0.25476190476190474	0.0
ENST00000620446.1:snoRNA:SNORD3C-201	4	4	0.25476190476190474	0.0
ENST00000584923.1:snoRNA:SNORD3A-001	4	4	0.25476190476190474	0.0
ENST00000628329.1:snoRNA:SNORD3B-2-202	4	4	0.25476190476190474	0.0
ENST00000625876.1:snoRNA:SNORD3A-202	4	4	0.25476190476190474	0.0
ENST00000364880.2:snoRNA:SNORD3B-2-201	4	4	0.25476190476190474	0.0
ENST00000617128.1:snoRNA:SNORD3B-1-201	4	4	0.25476190476190474	0.0
ENST00000620232.1:snoRNA:SNORD3A-201	4	4	0.25476190476190474	0.0
ENST00000577988.2:snoRNA:SNORD3B-1-001	4	4	0.25476190476190474	0.0
